Date,Medio,Program,Schedule,Original Title,Duration,Ordered Qty,Insertion,Confidence,Status
2025-12-18,MEDCOM,Noticiero Matutino,6:00am-08:00am,ALMA SALVAJE,10,1,1,100,matched
2025-12-18,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-18,MEDCOM,Novela Vespertina,1:00pm-05:00pm,MI PECADO,10,1,1,100,matched
2025-12-18,MEDCOM,Tu Mañana,8:00am-11:30am,TELEMETRO REPORTA MATUTIN,35,1,1,100,matched
2025-12-18,TVN,Fam. de la Tarde,1:00pm-05:00pm,SUENOS ROBADOS,35,1,1,100,matched
2025-12-18,TVN,Jelou,8:00am-11:30am,TVN NOTICIAS A M,35,1,1,100,matched
2025-12-18,TVN,Noticiero Matutino,6:00am-08:00am,JELOU,35,1,1,100,matched
2025-12-18,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-18,TVN,Rot. Vespertina,1:00pm-05:00pm,AMOR AMARGO,10,1,1,100,matched
2025-12-19,MEDCOM,Noticiero Matutino,6:00am-08:00am,PARRANDA NAVIDAD A LO PANAMENO,35,1,1,100,matched
2025-12-19,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA MATUTIN,10,1,1,100,matched
2025-12-19,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-19,MEDCOM,Novela Vespertina,1:00pm-05:00pm,MI PECADO,10,1,1,100,matched
2025-12-19,MEDCOM,Tu Mañana,8:00am-11:30am,TU MANANA,10,1,1,100,matched
2025-12-19,TVN,Fam. de la Tarde,1:00pm-05:00pm,SHOW TVN,35,1,1,100,matched
2025-12-19,TVN,Jelou,8:00am-11:30am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-19,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-19,TVN,Rot. Vespertina,1:00pm-05:00pm,GORDITO DEL ZODIACO,10,1,1,100,matched
