Date,Medio,Program,Original Title,Duration,Ordered Qty,Insertion,Confidence
2024-12-12,"MEDCOM","Novela Vespertina","-",10,1,0,0
2024-12-12,"MEDCOM","Tu Mañana","-",35,1,0,0
2024-12-12,"MEDCOM","Tu Mañana","-",10,1,0,0
2024-12-12,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-12,"TVN","Jelou","-",10,1,0,0
2024-12-12,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-12,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-12,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-12,"TVN","Noticiero Matutino","-",10,1,0,0
2024-12-12,"TVN","Rot. Vespertina","-",10,1,0,0
2024-12-15,"MEDCOM","Noticiero Estelar","-",35,2,0,0
2024-12-15,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-15,"MEDCOM","Noticiero Matutino","-",35,1,0,0
2024-12-15,"MEDCOM","Noticiero Matutino","-",10,1,0,0
2024-12-15,"MEDCOM","Novela Estelar","-",35,3,0,0
2024-12-15,"MEDCOM","Novela Estelar","-",10,2,0,0
2024-12-15,"MEDCOM","Novela Vespertina","-",35,1,0,0
2024-12-15,"MEDCOM","Novela Vespertina","-",10,1,0,0
2024-12-15,"MEDCOM","Tu Mañana","-",35,1,0,0
2024-12-15,"MEDCOM","Tu Mañana","-",10,1,0,0
2024-12-15,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-15,"TVN","Jelou","-",35,1,0,0
2024-12-15,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-15,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-15,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-15,"TVN","Noticiero Matutino","-",10,1,0,0
2024-12-15,"TVN","Novela Estelar","-",35,2,0,0
2024-12-15,"TVN","Novela Estelar","-",10,3,0,0
2024-12-15,"TVN","Rot. Vespertina","-",10,1,0,0
2024-12-16,"MEDCOM","Noticiero Estelar","-",35,2,0,0
2024-12-16,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-16,"MEDCOM","Novela Estelar","-",35,3,0,0
2024-12-16,"MEDCOM","Novela Estelar","-",10,2,0,0
2024-12-16,"MEDCOM","Novela Vespertina","-",35,1,0,0
2024-12-16,"MEDCOM","Novela Vespertina","-",10,1,0,0
2024-12-16,"MEDCOM","Tu Mañana","-",35,1,0,0
2024-12-16,"MEDCOM","Tu Mañana","-",10,1,0,0
2024-12-16,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-16,"TVN","Jelou","-",10,1,0,0
2024-12-16,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-16,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-16,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-16,"TVN","Novela Estelar","-",35,2,0,0
2024-12-16,"TVN","Novela Estelar","-",10,3,0,0
2024-12-16,"TVN","Rot. Vespertina","-",10,1,0,0
2024-12-17,"MEDCOM","Noticiero Estelar","-",35,2,0,0
2024-12-17,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-17,"MEDCOM","Noticiero Matutino","-",35,1,0,0
2024-12-17,"MEDCOM","Noticiero Matutino","-",10,1,0,0
2024-12-17,"MEDCOM","Novela Estelar","-",35,3,0,0
2024-12-17,"MEDCOM","Novela Estelar","-",10,2,0,0
2024-12-17,"MEDCOM","Novela Vespertina","-",35,1,0,0
2024-12-17,"MEDCOM","Tu Mañana","-",10,1,0,0
2024-12-17,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-17,"TVN","Jelou","-",10,1,0,0
2024-12-17,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-17,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-17,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-17,"TVN","Noticiero Matutino","-",10,1,0,0
2024-12-17,"TVN","Novela Estelar","-",35,2,0,0
2024-12-17,"TVN","Novela Estelar","-",10,3,0,0
2024-12-17,"TVN","Rot. Vespertina","-",10,1,0,0
2024-12-18,"MEDCOM","Noticiero Estelar","-",35,2,0,0
2024-12-18,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-18,"MEDCOM","Noticiero Matutino","-",35,1,0,0
2024-12-18,"MEDCOM","Noticiero Matutino","-",10,1,0,0
2024-12-18,"MEDCOM","Novela Estelar","-",35,3,0,0
2024-12-18,"MEDCOM","Novela Estelar","-",10,2,0,0
2024-12-18,"MEDCOM","Novela Vespertina","-",35,1,0,0
2024-12-18,"MEDCOM","Novela Vespertina","-",10,1,0,0
2024-12-18,"MEDCOM","Tu Mañana","-",35,1,0,0
2024-12-18,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-18,"TVN","Jelou","-",35,1,0,0
2024-12-18,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-18,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-18,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-18,"TVN","Noticiero Matutino","-",10,1,0,0
2024-12-18,"TVN","Novela Estelar","-",35,3,0,0
2024-12-18,"TVN","Novela Estelar","-",10,3,0,0
2024-12-18,"TVN","Rot. Vespertina","-",10,1,0,0
2024-12-19,"MEDCOM","Noticiero Estelar","-",35,2,0,0
2024-12-19,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-19,"MEDCOM","Noticiero Matutino","-",35,1,0,0
2024-12-19,"MEDCOM","Noticiero Matutino","-",10,1,0,0
2024-12-19,"MEDCOM","Novela Estelar","-",35,2,0,0
2024-12-19,"MEDCOM","Novela Estelar","-",10,2,0,0
2024-12-19,"MEDCOM","Novela Vespertina","-",35,1,0,0
2024-12-19,"MEDCOM","Novela Vespertina","-",10,1,0,0
2024-12-19,"MEDCOM","Tu Mañana","-",10,1,0,0
2024-12-19,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-19,"TVN","Jelou","-",10,1,0,0
2024-12-19,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-19,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-19,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-19,"TVN","Novela Estelar","-",35,2,0,0
2024-12-19,"TVN","Novela Estelar","-",10,3,0,0
2024-12-19,"TVN","Rot. Vespertina","-",10,1,0,0
2024-12-20,"MEDCOM","A lo Panameño","-",35,1,0,0
2024-12-20,"MEDCOM","A lo Panameño","-",10,1,0,0
2024-12-20,"MEDCOM","Noti. Fin de Semana","-",35,1,0,0
2024-12-20,"MEDCOM","Noti. Fin de Semana","-",10,1,0,0
2024-12-20,"TVN","Hecho en Panama","-",35,1,0,0
2024-12-20,"TVN","Hecho en Panama","-",10,2,0,0
2024-12-20,"TVN","Not. Fin de Semana","-",35,1,0,0
2024-12-20,"TVN","Not. Fin de Semana","-",10,2,0,0
2024-12-21,"MEDCOM","Noti. Fin de Semana","-",35,1,0,0
2024-12-21,"MEDCOM","Noti. Fin de Semana","-",10,1,0,0
2024-12-21,"MEDCOM","Peliculas","-",35,1,0,0
2024-12-21,"TVN","Not. Fin de Semana","-",35,1,0,0
2024-12-21,"TVN","Not. Fin de Semana","-",10,2,0,0
2024-12-21,"TVN","Peliculas","-",35,1,0,0
2024-12-22,"MEDCOM","Noticiero Estelar","-",35,2,0,0
2024-12-22,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-22,"MEDCOM","Noticiero Matutino","-",35,1,0,0
2024-12-22,"MEDCOM","Noticiero Matutino","-",10,1,0,0
2024-12-22,"MEDCOM","Novela Estelar","-",35,3,0,0
2024-12-22,"MEDCOM","Novela Estelar","-",10,2,0,0
2024-12-22,"MEDCOM","Novela Vespertina","-",35,1,0,0
2024-12-22,"MEDCOM","Novela Vespertina","-",10,1,0,0
2024-12-22,"MEDCOM","Tu Mañana","-",35,1,0,0
2024-12-22,"MEDCOM","Tu Mañana","-",10,1,0,0
2024-12-22,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-22,"TVN","Jelou","-",35,1,0,0
2024-12-22,"TVN","Jelou","-",10,1,0,0
2024-12-22,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-22,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-22,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-22,"TVN","Noticiero Matutino","-",10,1,0,0
2024-12-22,"TVN","Novela Estelar","-",35,2,0,0
2024-12-22,"TVN","Novela Estelar","-",10,2,0,0
2024-12-22,"TVN","Rot. Vespertina","-",10,1,0,0
2024-12-23,"MEDCOM","Noticiero Estelar","-",35,2,0,0
2024-12-23,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-23,"MEDCOM","Noticiero Matutino","-",35,1,0,0
2024-12-23,"MEDCOM","Novela Estelar","-",35,3,0,0
2024-12-23,"MEDCOM","Novela Estelar","-",10,2,0,0
2024-12-23,"MEDCOM","Novela Vespertina","-",35,1,0,0
2024-12-23,"MEDCOM","Novela Vespertina","-",10,1,0,0
2024-12-23,"MEDCOM","Tu Mañana","-",35,1,0,0
2024-12-23,"MEDCOM","Tu Mañana","-",10,1,0,0
2024-12-23,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-23,"TVN","Jelou","-",35,1,0,0
2024-12-23,"TVN","Jelou","-",10,1,0,0
2024-12-23,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-23,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-23,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-23,"TVN","Noticiero Matutino","-",10,1,0,0
2024-12-23,"TVN","Novela Estelar","-",35,2,0,0
2024-12-23,"TVN","Novela Estelar","-",10,2,0,0
2024-12-23,"TVN","Rot. Vespertina","-",10,1,0,0
2024-12-26,"MEDCOM","Noticiero Estelar","-",35,2,0,0
2024-12-26,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-26,"MEDCOM","Noticiero Matutino","-",35,1,0,0
2024-12-26,"MEDCOM","Noticiero Matutino","-",10,1,0,0
2024-12-26,"MEDCOM","Novela Estelar","-",35,2,0,0
2024-12-26,"MEDCOM","Novela Estelar","-",10,2,0,0
2024-12-26,"MEDCOM","Novela Vespertina","-",35,2,0,0
2024-12-26,"MEDCOM","Novela Vespertina","-",10,1,0,0
2024-12-26,"MEDCOM","Tu Mañana","-",35,1,0,0
2024-12-26,"MEDCOM","Tu Mañana","-",10,1,0,0
2024-12-26,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-26,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-26,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-26,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-26,"TVN","Noticiero Matutino","-",10,1,0,0
2024-12-26,"TVN","Novela Estelar","-",35,2,0,0
2024-12-26,"TVN","Novela Estelar","-",10,2,0,0
2024-12-26,"TVN","Rot. Vespertina","-",10,1,0,0
2024-12-27,"MEDCOM","Noti. Fin de Semana","-",10,2,0,0
2024-12-27,"TVN","Hecho en Panama","-",35,1,0,0
2024-12-27,"TVN","Hecho en Panama","-",10,2,0,0
2024-12-27,"TVN","Not. Fin de Semana","-",35,1,0,0
